canonical_org_id,org_name,org_key,n_surveys,beneficiaries_reached_latest,beneficiaries_reached_delta,beneficiaries_reached_arrow,beneficiaries_reached_waves,business_perf_rating_latest,business_perf_rating_delta,business_perf_rating_arrow,business_perf_rating_waves,confidence_rating_latest,confidence_rating_delta,confidence_rating_arrow,confidence_rating_waves,customer_count_latest,customer_count_delta,customer_count_arrow,customer_count_waves,ebitda_latest,ebitda_delta,ebitda_arrow,ebitda_waves,fte_count_latest,fte_count_delta,fte_count_arrow,fte_count_waves,funding_total_latest,funding_total_delta,funding_total_arrow,funding_total_waves,jobs_created_latest,jobs_created_delta,jobs_created_arrow,jobs_created_waves,livelihoods_improved_latest,livelihoods_improved_delta,livelihoods_improved_arrow,livelihoods_improved_waves,monthly_revenue_latest,monthly_revenue_delta,monthly_revenue_arrow,monthly_revenue_waves,net_profit_latest,net_profit_delta,net_profit_arrow,net_profit_waves,nps_recommend_latest,nps_recommend_delta,nps_recommend_arrow,nps_recommend_waves,revenue_actuals_latest,revenue_actuals_delta,revenue_actuals_arrow,revenue_actuals_waves,wash_access_improved_latest,wash_access_improved_delta,wash_access_improved_arrow,wash_access_improved_waves,metrics_tracked,health_flag,ladder_stage,sdgs,iris_categories,last_wave,n_outliers,has_outlier,health_score,health_status,score_financial,score_social,score_reporting,score_imm,score_consistency,health_hygiene_engaged_latest,health_hygiene_engaged_delta,health_hygiene_engaged_arrow,health_hygiene_engaged_waves,health_hygiene_impact_latest,health_hygiene_impact_delta,health_hygiene_impact_arrow,health_hygiene_impact_waves,health_hygiene_informed_latest,health_hygiene_informed_delta,health_hygiene_informed_arrow,health_hygiene_informed_waves,health_hygiene_outcomes_latest,health_hygiene_outcomes_delta,health_hygiene_outcomes_arrow,health_hygiene_outcomes_waves,health_hygiene_societal_latest,health_hygiene_societal_delta,health_hygiene_societal_arrow,health_hygiene_societal_waves,runway_months_latest,runway_months_delta,runway_months_arrow,runway_months_waves,pct_women_reached_latest,pct_women_reached_delta,pct_women_reached_arrow,pct_women_reached_waves,monthly_expenses_latest,monthly_expenses_delta,monthly_expenses_arrow,monthly_expenses_waves,valuation_latest,valuation_delta,valuation_arrow,valuation_waves,cohorts,regions
org_006,FreshStart Enterprises,freshstartenterprises,6,187112.0,67112.0,up,8.0,5.0,1.0,down,3.0,4.0,-1.0,down,2.0,9.0,,,1.0,369992.0,-220614.63,down,3.0,22.0,14.0,up,6.0,7000000.0,6600000.0,up,4.0,130.0,120.0,up,3.0,90.0,30.0,up,2.0,1250000.0,1205000.0,up,3.0,369992.0,-55244.32000000001,down,3.0,10.0,,,1.0,8367776.0,4033388.33,up,3.0,150000.0,30000.0,up,2.0,16,Improving,No maturity data,"1,3,5,6,8","Diversity & Inclusion | Employment | Financial Inclusion | Health | Water, Sanitation & Hygiene (WASH)",2025-10,0,False,97,green,100.0,90.0,100,,100,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,54.0,,,1.0,,,,,,,,,"AP1,cross-cohort","SA,SA+BRA"
org_031,FreshWave Solutions,freshwavesolutions,3,52370.0,,,1.0,8.0,,,1.0,,,,,120000.0,,,1.0,,,,,5.0,-17.0,down,2.0,,,,,,,,,,,,,22000.0,5831.0,up,2.0,,,,,10.0,,,1.0,,,,,,,,,13,Improving,Societal Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,83,green,87.0,67.0,100,100.0,75,0.0,,,1.0,800000.0,,,1.0,800000.0,800000.0,up,2.0,800000.0,,,1.0,800000.0,,,1.0,0.0,-1.5,down,2.0,100.0,,,1.0,,,,,,,,,"AP3,cross-cohort",
org_039,GreenLeaf Ventures,greenleafventures,2,1500000.0,,,1.0,9.0,6.0,up,2.0,4.0,,,1.0,700.0,,,1.0,,,,,16.0,-6.0,down,2.0,5000000.0,,,1.0,,,,,,,,,83000.0,-36048.0,down,2.0,,,,,,,,,,,,,,,,,13,Declining,No maturity data,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,58,yellow,28.0,88.0,100,,50,0.0,,,1.0,0.0,,,1.0,0.0,,,1.0,,,,,,,,,8.0,,,1.0,65.0,,,1.0,35000.0,-5000.0,down,2.0,,,,,AP4,
org_045,GreenTide Innovations,greentideinnovations,2,32517.0,,,1.0,10.0,6.0,up,2.0,4.0,,,1.0,8274.0,,,1.0,,,,,15.0,,,1.0,125000.0,-625000.0,down,2.0,,,,,,,,,19532.0,2732.0,up,2.0,,,,,,,,,,,,,,,,,12,Improving,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,70,green,70.0,64.0,100,80.0,50,33098.0,,,1.0,33098.0,,,1.0,7400000.0,,,1.0,,,,,,,,,,,,,100.0,,,1.0,14000.0,8310.0,up,2.0,,,,,AP4,
org_011,GreenWave Enterprises,greenwaveenterprises,5,41616.0,18616.0,flat,4.0,7.0,,,1.0,,,,,23.0,5.0,flat,3.0,,,,,17.0,5.0,up,3.0,1950477.49,1850477.49,up,4.0,,,,,,,,,28428.09,,,1.0,,,,,,,,,,,,,,,,,8,Improving,No maturity data,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,93,green,100.0,86.0,80,,100,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,52.0,0.0,flat,2.0,,,,,,,,,"AP1,cross-cohort","BRA,SA+BRA"
org_034,HopeWell Initiative,hopewellinitiative,2,240068.0,,,1.0,6.0,3.0,up,2.0,4.0,,,1.0,906.0,,,1.0,,,,,60.0,-52.0,down,2.0,3600000.0,,,1.0,,,,,,,,,24819.0,-10181.0,down,2.0,,,,,,,,,,,,,,,,,13,Declining,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,1,True,58,yellow,29.0,77.0,100,80.0,50,28900000.0,,,1.0,14500000.0,,,1.0,,,,,,,,,,,,,4.0,,,1.0,55.0,,,1.0,16602.0,6602.0,up,2.0,15000000.0,,,1.0,AP4,
org_007,HydroGuard Solutions,hydroguardsolutions,5,300000.0,100000.0,flat,5.0,10.0,,,1.0,,,,,4315.0,315.0,up,3.0,,,,,6.0,3.0,up,3.0,0.0,0.0,flat,4.0,,,,,,,,,10000.0,,,1.0,,,,,,,,,,,,,,,,,7,Improving,No maturity data,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,89,green,,91.0,70,,100,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,1.0,,,,,,,,,"AP1,cross-cohort","BRA,SA+BRA"
org_042,HydroHarvest Collective,hydroharvestcollective,2,2000.0,,,1.0,7.0,3.0,up,2.0,3.0,,,1.0,500.0,,,1.0,,,,,2.0,,,1.0,0.0,,,1.0,,,,,,,,,4500.0,0.0,flat,2.0,,,,,,,,,,,,,,,,,13,Flat,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,59,yellow,55.0,47.0,100,80.0,50,1000.0,,,1.0,1500.0,,,1.0,4000.0,,,1.0,,,,,,,,,6.0,,,1.0,100.0,,,1.0,5000.0,3500.0,up,2.0,,,,,AP4,
org_064,Larkspur Health Network,larkspurhealthnetwork,1,4000000.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000.0,,,1.0,,,,,,,,,,,,,,,,,4,Insufficient data,No maturity data,"1,3,5,8",Diversity & Inclusion | Health,2025-10,0,False,70,green,,94.0,40,,25,,,,,,,,,,,,,,,,,,,,,6.0,,,1.0,52.0,,,1.0,,,,,,,,,cross-cohort,
org_026,LifeSpring Innovations,lifespringinnovations,3,3350.0,,,1.0,9.0,,,1.0,,,,,1800.0,,,1.0,,,,,44.0,22.0,up,2.0,,,,,,,,,,,,,4686.41,2049.41,up,2.0,,,,,10.0,,,1.0,,,,,,,,,13,Improving,Societal Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,83,green,100.0,50.0,100,100.0,75,681543.0,243543.0,up,2.0,438000.0,-243543.0,down,2.0,681543.0,243543.0,up,2.0,681543.0,243543.0,up,2.0,681543.0,243543.0,up,2.0,3.0,-1.0,down,2.0,40.0,,,1.0,,,,,,,,,"AP3,cross-cohort",
